company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
Mercedes-Benz,CLA Shooting Brake 250+,Rear Wheel Drive,D,5,"£47,750",350 mi,243 Wh/mi,"2,075 kg",6.8 sec,459 mi,85.0 kWh,235 kW,"1,500 kg",556 L,£136 /mi
Mercedes-Benz,EQV 300,Front Wheel Drive,N,7,"£87,995",190 mi,474 Wh/mi,"2,635 kg",12.1 sec,177 mi,90.0 kWh,96 kW,0 kg,"1,030 L",£463 /mi
Mercedes-Benz,eVito Tourer L2 90 kWh,Front Wheel Drive,N,9,"£76,368",190 mi,474 Wh/mi,"2,530 kg",12.0 sec,176 mi,90.0 kWh,96 kW,0 kg,990 L,£402 /mi
Ford,Mustang Mach-E Premium RWD(MY23.75),Rear Wheel Drive,D,5,"£59,830",300 mi,303 Wh/mi,"2,160 kg",7.0 sec,304 mi,91.0 kWh,115 kW,"1,500 kg",619 L,£199 /mi
Porsche,Taycan 4S Cross Turismo,All Wheel Drive,F,5,"£100,400",315 mi,308 Wh/mi,"2,355 kg",3.8 sec,407 mi,97.0 kWh,262 kW,0 kg,530 L,£319 /mi
DS Automobiles,N°8 AWD Long Range,All Wheel Drive,D,5,"£63,290",330 mi,295 Wh/mi,"2,364 kg",5.4 sec,343 mi,97.2 kWh,130 kW,"1,400 kg",620 L,£192 /mi
CUPRA,Born 58 kWh e-Boost,Rear Wheel Drive,C,5,"£35,085",215 mi,270 Wh/mi,"1,824 kg",6.6 sec,231 mi,58.0 kWh,82 kW,0 kg,385 L,£163 /mi
Volkswagen,ID.4 Pro Performance 4MOTION(MY24-25),All Wheel Drive,C,5,"£46,080",270 mi,285 Wh/mi,"2,233 kg",6.6 sec,296 mi,77.0 kWh,120 kW,"1,200 kg",543 L,£171 /mi
Mercedes-Benz,EQE SUV 350+(MY23-24),Rear Wheel Drive,E,5,"£75,495",295 mi,325 Wh/mi,"2,490 kg",6.9 sec,313 mi,96.0 kWh,141 kW,750 kg,520 L,£256 /mi
Citroën,ë-SpaceTourer M 75 kWh,Front Wheel Drive,N,9,"£42,035",165 mi,418 Wh/mi,"2,211 kg",14.2 sec,157 mi,69.0 kWh,79 kW,"1,000 kg",603 L,£255 /mi
Kia,Soul EV,Front Wheel Drive,B,5,"£25,495",95 mi,284 Wh/mi,"1,565 kg",11.2 sec,101 mi,27.0 kWh,40 kW,0 kg,281 L,£268 /mi
Renault,Zoe Q210,Front Wheel Drive,B,5,"£14,495",85 mi,274 Wh/mi,"1,503 kg",13.5 sec,92 mi,23.3 kWh,33 kW,unknown,338 L,£171 /mi
Škoda,Enyaq Coupe iV 80(MY23),Rear Wheel Drive,C,5,"£44,825",275 mi,280 Wh/mi,"2,119 kg",8.7 sec,294 mi,77.0 kWh,125 kW,"1,000 kg",575 L,£163 /mi
ORA,Funky Cat First Edition,Front Wheel Drive,C,5,"£31,995",160 mi,284 Wh/mi,"1,615 kg",8.3 sec,153 mi,45.4 kWh,45 kW,0 kg,228 L,£200 /mi
Smart,#1 Pro,Rear Wheel Drive,B,5,"£32,960",155 mi,303 Wh/mi,"1,855 kg",6.7 sec,174 mi,47.0 kWh,65 kW,0 kg,338 L,£213 /mi
Audi,e-tron GT RS performance,All Wheel Drive,F,4,"£142,925",325 mi,298 Wh/mi,"2,395 kg",2.5 sec,431 mi,97.0 kWh,281 kW,0 kg,427 L,£440 /mi
Nissan,Ariya e-4ORCE 87kWh - 320 kW Nismo,All Wheel Drive,C,5,"£56,630",240 mi,363 Wh/mi,"2,277 kg",5.0 sec,237 mi,87.0 kWh,110 kW,unknown,415 L,£236 /mi
Tesla,Model S 75,Rear Wheel Drive,F,5,"£55,880",235 mi,309 Wh/mi,"2,102 kg",4.6 sec,240 mi,72.5 kWh,80 kW,unknown,895 L,£238 /mi
Renault,Zoe R90 ZE40,Front Wheel Drive,B,5,"£23,770",155 mi,265 Wh/mi,"1,555 kg",13.5 sec,113 mi,41.0 kWh,0 kW,0 kg,338 L,£153 /mi
Smart,EQ fortwo coupe,Rear Wheel Drive,A,2,"£17,695",60 mi,278 Wh/mi,"1,085 kg",11.5 sec,44 mi,16.7 kWh,0 kW,0 kg,260 L,£295 /mi
Tesla,Model S Performance,All Wheel Drive,F,5,"£94,980",330 mi,297 Wh/mi,"2,307 kg",2.8 sec,370 mi,98.0 kWh,125 kW,0 kg,894 L,£288 /mi
Volvo,C40 Recharge Twin Pure Electric(MY22),All Wheel Drive,C,5,"£58,350",225 mi,333 Wh/mi,"2,185 kg",4.7 sec,235 mi,75.0 kWh,108 kW,"1,800 kg",450 L,£259 /mi
Peugeot,e-5008 73 kWh Dual Motor,All Wheel Drive,D,7,"£58,990",220 mi,332 Wh/mi,"2,406 kg",6.5 sec,232 mi,73.0 kWh,90 kW,"1,000 kg",348 L,£268 /mi
Volkswagen,ID.5 GTX(MY26),All Wheel Drive,C,5,"£47,900",275 mi,287 Wh/mi,"2,233 kg",5.4 sec,311 mi,79.0 kWh,135 kW,"1,800 kg",549 L,£174 /mi
Audi,Q4 e-tron 50 quattro,All Wheel Drive,C,5,"£57,010",240 mi,319 Wh/mi,"2,210 kg",6.2 sec,260 mi,76.6 kWh,115 kW,"1,200 kg",520 L,£238 /mi
Maxus,MIFA 9,Front Wheel Drive,N,7,"£65,290",225 mi,373 Wh/mi,"2,485 kg",9.2 sec,211 mi,84.0 kWh,103 kW,"1,000 kg",521 L,£290 /mi
Mercedes-Benz,EQE 350(MY23),Rear Wheel Drive,E,5,"£77,345",320 mi,278 Wh/mi,"2,405 kg",6.4 sec,345 mi,89.0 kWh,120 kW,750 kg,430 L,£242 /mi
Porsche,Taycan Turbo GT,All Wheel Drive,F,5,"£186,300",295 mi,329 Wh/mi,"2,365 kg",2.3 sec,378 mi,97.0 kWh,262 kW,0 kg,410 L,£632 /mi
MG,Cyberster Trophy,Rear Wheel Drive,S,2,"£54,995",265 mi,281 Wh/mi,"1,960 kg",5.0 sec,273 mi,74.4 kWh,85 kW,unknown,249 L,£208 /mi
Audi,e-tron GT RS,All Wheel Drive,F,4,"£126,425",325 mi,298 Wh/mi,"2,395 kg",2.8 sec,431 mi,97.0 kWh,281 kW,0 kg,427 L,£389 /mi
Toyota,bZ4X FWD 73.1 kWh(MY25),Front Wheel Drive,C,5,"£45,795",240 mi,288 Wh/mi,"2,025 kg",7.4 sec,263 mi,69.0 kWh,110 kW,750 kg,452 L,£191 /mi
Volvo,EX40 Single Motor(MY26),Rear Wheel Drive,C,5,"£46,260",215 mi,312 Wh/mi,"2,040 kg",7.3 sec,238 mi,67.0 kWh,110 kW,"1,500 kg",441 L,£215 /mi
Polestar,3 Performance(MY26),All Wheel Drive,E,5,"£91,990",285 mi,358 Wh/mi,"2,600 kg",3.9 sec,335 mi,102.0 kWh,200 kW,"2,200 kg",508 L,£323 /mi
Tesla,Model S P90D,All Wheel Drive,F,5,£0,255 mi,335 Wh/mi,"2,262 kg",3.3 sec,254 mi,85.5 kWh,90 kW,unknown,895 L,- /mi
Mercedes-Benz,EQS 450+,Rear Wheel Drive,F,5,"£105,610",395 mi,273 Wh/mi,"2,480 kg",6.2 sec,437 mi,107.8 kWh,173 kW,750 kg,610 L,£267 /mi
Citroën,ë-Berlingo XL 50 kWh,Front Wheel Drive,N,7,"£33,315",125 mi,370 Wh/mi,"1,813 kg",11.7 sec,137 mi,46.3 kWh,78 kW,750 kg,806 L,£267 /mi
