company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
Tesla,Model S Standard Range,All Wheel Drive,F,5,"£72,550",260 mi,279 Wh/mi,"2,183 kg",4.2 sec,258 mi,72.5 kWh,80 kW,0 kg,894 L,£279 /mi
Mercedes-Benz,EQA 350 4MATIC,All Wheel Drive,C,5,"£54,510",215 mi,309 Wh/mi,"2,105 kg",6.0 sec,223 mi,66.5 kWh,100 kW,"1,800 kg",340 L,£254 /mi
BMW,iX M60,All Wheel Drive,E,5,"£122,775",300 mi,351 Wh/mi,"2,659 kg",3.8 sec,320 mi,105.2 kWh,149 kW,"2,500 kg",500 L,£409 /mi
Volkswagen,ID.4 Pro,Rear Wheel Drive,C,5,"£44,605",255 mi,302 Wh/mi,"2,123 kg",10.4 sec,271 mi,77.0 kWh,125 kW,"1,000 kg",543 L,£175 /mi
Škoda,Enyaq Coupe iV 80x(MY23),All Wheel Drive,C,5,"£52,505",270 mi,285 Wh/mi,"2,214 kg",7.0 sec,294 mi,77.0 kWh,115 kW,"1,200 kg",575 L,£194 /mi
Ford,Mustang Mach-E Rally(MY24),All Wheel Drive,D,5,"£69,800",255 mi,357 Wh/mi,"2,343 kg",3.9 sec,259 mi,91.0 kWh,115 kW,750 kg,619 L,£274 /mi
Skywell,BE11 Long Range,Front Wheel Drive,D,5,"£39,995",240 mi,338 Wh/mi,"2,005 kg",9.6 sec,209 mi,81.0 kWh,50 kW,unknown,467 L,£167 /mi
Volkswagen,e-Transporter Kombi LWB 100 kW 65 kWh,Rear Wheel Drive,N,9,"£54,424",155 mi,412 Wh/mi,"2,348 kg",12.8 sec,155 mi,63.8 kWh,75 kW,"2,000 kg","1,000 L",£351 /mi
Ford,Mustang Mach-E GT(MY21),All Wheel Drive,D,5,"£66,280",255 mi,345 Wh/mi,"2,348 kg",4.4 sec,241 mi,88.0 kWh,86 kW,750 kg,619 L,£260 /mi
Kia,Soul EV 64 kWh,Front Wheel Drive,B,5,"£34,995",225 mi,284 Wh/mi,"1,757 kg",7.9 sec,213 mi,64.0 kWh,64 kW,0 kg,315 L,£156 /mi
Audi,Q4 Sportback e-tron 45 quattro,All Wheel Drive,C,5,"£54,240",255 mi,302 Wh/mi,"2,235 kg",6.6 sec,281 mi,77.0 kWh,120 kW,"1,200 kg",535 L,£213 /mi
Ford,Mustang Mach-E Premium AWD(MY23.75),All Wheel Drive,D,5,"£65,405",275 mi,331 Wh/mi,"2,257 kg",5.8 sec,278 mi,91.0 kWh,115 kW,"1,500 kg",619 L,£238 /mi
Mercedes-Benz,EQV 300 Extra-Long,Front Wheel Drive,N,7,"£93,955",195 mi,462 Wh/mi,"2,735 kg",12.2 sec,181 mi,90.0 kWh,96 kW,0 kg,"1,410 L",£482 /mi
Audi,Q4 Sportback e-tron 40,Rear Wheel Drive,C,5,"£48,110",210 mi,281 Wh/mi,"2,035 kg",8.1 sec,245 mi,59.0 kWh,110 kW,"1,000 kg",520 L,£229 /mi
Volvo,EC40 Single Motor(MY26),Rear Wheel Drive,C,5,"£52,410",220 mi,305 Wh/mi,"2,057 kg",7.3 sec,248 mi,67.0 kWh,110 kW,"1,500 kg",435 L,£238 /mi
Mercedes-Benz,EQE SUV 350+(MY25),Rear Wheel Drive,E,5,"£75,505",295 mi,325 Wh/mi,"2,495 kg",6.4 sec,313 mi,96.0 kWh,141 kW,750 kg,520 L,£256 /mi
Kia,Soul EV 64 kWh,Front Wheel Drive,B,5,"£37,545",225 mi,284 Wh/mi,"1,757 kg",7.9 sec,213 mi,64.0 kWh,64 kW,0 kg,315 L,£167 /mi
Škoda,CITIGOe iV,Front Wheel Drive,A,4,"£17,455",130 mi,248 Wh/mi,"1,235 kg",12.3 sec,117 mi,32.3 kWh,30 kW,0 kg,250 L,£134 /mi
Kia,e-Niro 39 kWh,Front Wheel Drive,C,5,"£32,895",145 mi,270 Wh/mi,"1,667 kg",9.8 sec,134 mi,39.2 kWh,37 kW,0 kg,451 L,£227 /mi
BMW,i5 M60 xDrive Touring(MY25),All Wheel Drive,E,5,"£100,005",260 mi,312 Wh/mi,"2,425 kg",3.9 sec,301 mi,81.2 kWh,136 kW,"2,000 kg",570 L,£385 /mi
Volvo,ES90 Twin Motor Performance(MY26),All Wheel Drive,F,5,"£87,350",330 mi,309 Wh/mi,"2,628 kg",4.0 sec,395 mi,102.0 kWh,200 kW,"2,000 kg",468 L,£265 /mi
Volvo,EC40 Twin Motor(MY26),All Wheel Drive,C,5,"£57,660",250 mi,316 Wh/mi,"2,185 kg",4.8 sec,275 mi,79.0 kWh,125 kW,"1,800 kg",435 L,£231 /mi
Genesis,GV60 Performance(MY25),All Wheel Drive,C,5,"£67,715",245 mi,327 Wh/mi,"2,250 kg",4.0 sec,306 mi,80.0 kWh,205 kW,"1,600 kg",432 L,£276 /mi
Genesis,G80 Electrified(MY25),All Wheel Drive,F,5,"£75,615",275 mi,327 Wh/mi,"2,900 kg",5.1 sec,314 mi,90.0 kWh,160 kW,0 kg,354 L,£275 /mi
Volkswagen,ID.4 Pro 4MOTION(MY26),All Wheel Drive,C,5,"£46,120",270 mi,285 Wh/mi,"2,231 kg",6.6 sec,296 mi,77.0 kWh,120 kW,"1,200 kg",543 L,£171 /mi
Mercedes-Benz,EQE SUV 500 4MATIC(MY25),All Wheel Drive,E,5,"£90,570",280 mi,343 Wh/mi,"2,615 kg",4.7 sec,300 mi,96.0 kWh,141 kW,"1,800 kg",520 L,£323 /mi
BMW,i3s,Rear Wheel Drive,B,4,"£32,475",100 mi,272 Wh/mi,"1,340 kg",6.9 sec,101 mi,27.2 kWh,46 kW,0 kg,260 L,£325 /mi
Tesla,Model X Long Range,All Wheel Drive,F,7,"£82,350",270 mi,352 Wh/mi,"2,533 kg",4.9 sec,270 mi,95.0 kWh,100 kW,"2,250 kg",unknown,£305 /mi
Smart,EQ fortwo cabrio,Rear Wheel Drive,A,2,"£24,645",60 mi,278 Wh/mi,"1,125 kg",11.9 sec,41 mi,16.7 kWh,0 kW,0 kg,260 L,£411 /mi
Volvo,XC40 Recharge Twin Pure Electric(MY23),All Wheel Drive,C,5,"£57,000",215 mi,349 Wh/mi,"2,188 kg",4.9 sec,229 mi,75.0 kWh,108 kW,"1,800 kg",450 L,£265 /mi
Porsche,Taycan Turbo S,All Wheel Drive,F,5,"£161,400",325 mi,298 Wh/mi,"2,370 kg",2.4 sec,419 mi,97.0 kWh,262 kW,0 kg,450 L,£497 /mi
Porsche,Taycan Turbo Cross Turismo,All Wheel Drive,F,5,"£135,200",305 mi,318 Wh/mi,"2,395 kg",2.8 sec,395 mi,97.0 kWh,262 kW,0 kg,489 L,£443 /mi
Polestar,3 Rear Motor(MY26),Rear Wheel Drive,E,5,"£69,990",275 mi,320 Wh/mi,"2,390 kg",6.5 sec,323 mi,88.0 kWh,170 kW,"1,500 kg",508 L,£255 /mi
Volkswagen,e-Up!,Front Wheel Drive,A,4,"£20,780",55 mi,291 Wh/mi,"1,214 kg",12.4 sec,65 mi,16.0 kWh,30 kW,0 kg,250 L,£378 /mi
Vauxhall,Vivaro-e Life Combi M 50 kWh,Front Wheel Drive,N,9,"£36,995",115 mi,403 Wh/mi,"1,969 kg",12.1 sec,123 mi,46.3 kWh,78 kW,"1,000 kg",507 L,£322 /mi
Porsche,Taycan Turbo,All Wheel Drive,F,5,"£134,100",330 mi,294 Wh/mi,"2,365 kg",2.7 sec,430 mi,97.0 kWh,262 kW,0 kg,450 L,£406 /mi
Toyota,Proace City Verso Medium 50 kWh,Front Wheel Drive,N,5,"£30,349",145 mi,345 Wh/mi,"1,811 kg",11.7 sec,153 mi,50.0 kWh,80 kW,750 kg,775 L,£209 /mi
Mercedes-Benz,EQE 500 4MATIC(MY24),All Wheel Drive,E,5,"£80,610",315 mi,288 Wh/mi,"2,490 kg",4.7 sec,345 mi,90.6 kWh,141 kW,"1,700 kg",430 L,£256 /mi
Lotus,Eletre 900,All Wheel Drive,F,5,"£129,990",280 mi,389 Wh/mi,"2,725 kg",2.9 sec,347 mi,109.0 kWh,259 kW,"2,250 kg",657 L,£464 /mi
Volkswagen,ID.5 Pure(MY26),Rear Wheel Drive,C,5,"£39,590",195 mi,267 Wh/mi,"1,963 kg",8.9 sec,223 mi,52.0 kWh,87 kW,"1,000 kg",549 L,£203 /mi
Volkswagen,e-Up!,Front Wheel Drive,A,4,"£19,615",60 mi,267 Wh/mi,"1,229 kg",12.4 sec,69 mi,16.0 kWh,30 kW,0 kg,250 L,£327 /mi
Honda,e Advance,Rear Wheel Drive,B,4,"£37,395",105 mi,271 Wh/mi,"1,595 kg",8.3 sec,105 mi,28.5 kWh,32 kW,0 kg,171 L,£356 /mi
Mazda,MX-30,Front Wheel Drive,C,5,"£29,150",105 mi,286 Wh/mi,"1,720 kg",9.7 sec,99 mi,30.0 kWh,34 kW,0 kg,366 L,£278 /mi
Vauxhall,Mokka-e,Front Wheel Drive,B,5,"£30,540",155 mi,299 Wh/mi,"1,598 kg",9.0 sec,171 mi,46.3 kWh,78 kW,0 kg,310 L,£197 /mi
Porsche,Taycan Plus,Rear Wheel Drive,F,5,"£79,549",295 mi,284 Wh/mi,"2,205 kg",5.4 sec,376 mi,83.7 kWh,216 kW,0 kg,491 L,£270 /mi
Porsche,Taycan 4S Cross Turismo,All Wheel Drive,F,5,"£91,000",260 mi,322 Wh/mi,"2,320 kg",4.1 sec,330 mi,83.7 kWh,216 kW,0 kg,530 L,£350 /mi
Mercedes-Benz,EQA 300 4MATIC,All Wheel Drive,C,5,"£53,010",215 mi,309 Wh/mi,"2,105 kg",7.7 sec,223 mi,66.5 kWh,100 kW,"1,800 kg",340 L,£247 /mi
Mercedes-Benz,EQE SUV 350 4MATIC(MY23),All Wheel Drive,E,5,"£90,560",265 mi,336 Wh/mi,"2,580 kg",6.6 sec,281 mi,89.0 kWh,120 kW,"1,800 kg",520 L,£342 /mi
DS Automobiles,DS 3 E-Tense,Front Wheel Drive,B,5,"£35,495",185 mi,275 Wh/mi,"1,625 kg",9.0 sec,199 mi,50.8 kWh,85 kW,0 kg,350 L,£192 /mi
ORA,Funky Cat First Edition+,Front Wheel Drive,C,5,"£33,795",210 mi,282 Wh/mi,"1,615 kg",8.2 sec,194 mi,59.3 kWh,55 kW,0 kg,228 L,£161 /mi
Maserati,GranCabrio Folgore,All Wheel Drive,F,4,"£185,610",245 mi,339 Wh/mi,"2,415 kg",2.8 sec,304 mi,83.0 kWh,190 kW,unknown,151 L,£758 /mi
Škoda,Enyaq Coupe 85x(MY25),All Wheel Drive,C,5,"£49,160",285 mi,270 Wh/mi,"2,234 kg",6.7 sec,318 mi,77.0 kWh,120 kW,"1,200 kg",570 L,£172 /mi
Audi,Q4 Sportback e-tron 40,Rear Wheel Drive,C,5,"£52,130",265 mi,289 Wh/mi,"2,120 kg",8.5 sec,281 mi,76.6 kWh,125 kW,"1,000 kg",535 L,£197 /mi
Mercedes-Benz,EQB 300 4MATIC,All Wheel Drive,C,7,"£55,310",210 mi,317 Wh/mi,"2,175 kg",8.0 sec,217 mi,66.5 kWh,100 kW,0 kg,495 L,£263 /mi
Audi,e-tron S Sportback,All Wheel Drive,E,5,"£90,235",205 mi,422 Wh/mi,"2,730 kg",4.5 sec,216 mi,86.5 kWh,146 kW,"1,800 kg",615 L,£440 /mi
Fisker,Ocean One,All Wheel Drive,D,5,"£60,880",330 mi,323 Wh/mi,"2,434 kg",3.9 sec,352 mi,106.5 kWh,135 kW,"1,820 kg",476 L,£184 /mi
Audi,Q8 Sportback e-tron 55 quattro,All Wheel Drive,E,5,"£83,215",325 mi,326 Wh/mi,"2,585 kg",5.6 sec,337 mi,106.0 kWh,144 kW,"1,800 kg",590 L,£256 /mi
Porsche,Taycan 4S Cross Turismo,All Wheel Drive,F,5,"£95,200",270 mi,310 Wh/mi,"2,320 kg",4.1 sec,346 mi,83.7 kWh,216 kW,0 kg,530 L,£353 /mi
Ford,Mustang Mach-E GT(MY24),All Wheel Drive,D,5,"£67,550",265 mi,343 Wh/mi,"2,343 kg",3.8 sec,269 mi,91.0 kWh,115 kW,750 kg,619 L,£255 /mi
Ford,Mustang Mach-E SR RWD(MY21),Rear Wheel Drive,D,5,"£42,530",225 mi,302 Wh/mi,"2,044 kg",6.9 sec,226 mi,68.0 kWh,78 kW,750 kg,619 L,£189 /mi
Audi,e-tron 55 quattro,All Wheel Drive,E,5,"£71,500",225 mi,384 Wh/mi,"2,595 kg",5.7 sec,239 mi,86.5 kWh,146 kW,"1,800 kg",660 L,£318 /mi
Genesis,GV70 Electrified Sport(MY22-24),All Wheel Drive,D,5,"£65,105",215 mi,344 Wh/mi,"2,310 kg",4.2 sec,268 mi,74.0 kWh,190 kW,"1,800 kg",528 L,£303 /mi
Ford,Mustang Mach-E SR RWD(MY23),Rear Wheel Drive,D,5,"£50,830",235 mi,298 Wh/mi,"2,044 kg",6.9 sec,233 mi,70.0 kWh,78 kW,750 kg,619 L,£216 /mi
Ford,Mustang Mach-E ER RWD(MY23),Rear Wheel Drive,D,5,"£59,380",300 mi,303 Wh/mi,"2,160 kg",7.0 sec,278 mi,91.0 kWh,86 kW,"1,500 kg",619 L,£198 /mi
Jeep,Avenger Electric 1st Edition,Front Wheel Drive,B,5,"£36,500",190 mi,267 Wh/mi,"1,611 kg",9.0 sec,203 mi,50.8 kWh,85 kW,0 kg,355 L,£192 /mi
Volvo,EC40 Twin Motor(MY25),All Wheel Drive,C,5,"£57,805",250 mi,316 Wh/mi,"2,185 kg",4.8 sec,275 mi,79.0 kWh,125 kW,"1,800 kg",435 L,£231 /mi
Audi,SQ6 Sportback e-tron,All Wheel Drive,D,5,"£95,450",305 mi,311 Wh/mi,"2,425 kg",4.3 sec,365 mi,94.9 kWh,200 kW,"2,400 kg",575 L,£313 /mi
Porsche,Taycan GTS Sport Turismo,All Wheel Drive,F,5,"£118,300",315 mi,308 Wh/mi,"2,385 kg",3.3 sec,407 mi,97.0 kWh,262 kW,0 kg,489 L,£376 /mi
Citroën,C-Zero,Rear Wheel Drive,A,4,"£21,216",55 mi,264 Wh/mi,"1,140 kg",15.9 sec,63 mi,14.5 kWh,30 kW,0 kg,166 L,£386 /mi
Tesla,Model S 85,Rear Wheel Drive,F,5,£0,250 mi,323 Wh/mi,"2,175 kg",5.6 sec,254 mi,80.8 kWh,95 kW,unknown,895 L,- /mi
Lightyear,0,All Wheel Drive,F,5,"£265,000",340 mi,176 Wh/mi,"1,575 kg",10.0 sec,332 mi,60.0 kWh,60 kW,0 kg,640 L,£779 /mi
Tesla,Model X Performance,All Wheel Drive,F,7,"£102,980",290 mi,338 Wh/mi,"2,552 kg",3.1 sec,321 mi,98.0 kWh,125 kW,"2,250 kg",unknown,£355 /mi
Vauxhall,Vivaro-e Life L 50 kWh,Front Wheel Drive,N,9,"£43,575",110 mi,421 Wh/mi,"1,989 kg",12.1 sec,119 mi,46.3 kWh,78 kW,"1,000 kg",unknown,£396 /mi
Peugeot,e-308 SW(MY23-25),Front Wheel Drive,C,5,"£34,660",185 mi,275 Wh/mi,"1,791 kg",10.0 sec,198 mi,50.8 kWh,80 kW,0 kg,608 L,£187 /mi
Porsche,Taycan Turbo S,All Wheel Drive,F,5,"£148,300",270 mi,310 Wh/mi,"2,370 kg",2.8 sec,341 mi,83.7 kWh,216 kW,0 kg,450 L,£549 /mi
Škoda,Enyaq Coupe 85x(MY24),All Wheel Drive,C,5,"£50,305",280 mi,275 Wh/mi,"2,230 kg",6.6 sec,313 mi,77.0 kWh,120 kW,"1,200 kg",570 L,£180 /mi
Vauxhall,Mokka-e 54 kWh,Front Wheel Drive,B,5,"£37,260",180 mi,282 Wh/mi,"1,598 kg",9.0 sec,189 mi,50.8 kWh,85 kW,0 kg,310 L,£207 /mi
Vauxhall,Vivaro Life Electric XL 75 kWh,Front Wheel Drive,N,9,"£49,595",160 mi,431 Wh/mi,"2,240 kg",14.2 sec,157 mi,69.0 kWh,79 kW,"1,000 kg",989 L,£310 /mi
Citroën,C-Zero,Rear Wheel Drive,A,4,"£17,520",55 mi,264 Wh/mi,"1,140 kg",15.9 sec,63 mi,14.5 kWh,30 kW,0 kg,166 L,£319 /mi
Porsche,Taycan 4 Cross Turismo,All Wheel Drive,F,5,"£84,500",260 mi,322 Wh/mi,"2,320 kg",5.1 sec,330 mi,83.7 kWh,216 kW,0 kg,530 L,£325 /mi
Kia,Soul EV 39.2 kWh,Front Wheel Drive,B,5,"£32,875",140 mi,280 Wh/mi,"1,610 kg",9.9 sec,130 mi,39.2 kWh,37 kW,0 kg,315 L,£235 /mi
Maserati,Grecale Folgore,All Wheel Drive,E,5,"£109,905",245 mi,388 Wh/mi,"2,555 kg",4.1 sec,250 mi,95.0 kWh,110 kW,"1,800 kg",535 L,£449 /mi
Porsche,Taycan 4S,All Wheel Drive,F,5,"£90,700",255 mi,278 Wh/mi,"2,215 kg",4.0 sec,326 mi,71.0 kWh,183 kW,0 kg,491 L,£356 /mi
Volkswagen,ID.5 Pure(MY24-25),Rear Wheel Drive,C,5,"£41,080",195 mi,267 Wh/mi,"1,966 kg",8.9 sec,223 mi,52.0 kWh,87 kW,"1,000 kg",549 L,£211 /mi
Volvo,EX40 Twin Motor Performance(MY26),All Wheel Drive,C,5,"£59,610",235 mi,336 Wh/mi,"2,170 kg",4.6 sec,260 mi,79.0 kWh,125 kW,"1,800 kg",441 L,£254 /mi
Audi,e-tron Sportback 55 quattro,All Wheel Drive,E,5,"£79,900",235 mi,368 Wh/mi,"2,555 kg",5.7 sec,248 mi,86.5 kWh,146 kW,"1,800 kg",615 L,£340 /mi
SsangYong,Korando e-Motion,Front Wheel Drive,C,5,"£31,995",180 mi,311 Wh/mi,"1,840 kg",8.5 sec,172 mi,56.0 kWh,69 kW,"1,500 kg",551 L,£178 /mi
Škoda,Enyaq Coupe iV vRS(MY22-23),All Wheel Drive,C,5,"£54,370",265 mi,291 Wh/mi,"2,253 kg",6.5 sec,293 mi,77.0 kWh,115 kW,"1,200 kg",575 L,£205 /mi
Audi,Q8 SUV e-tron 50 quattro,All Wheel Drive,E,5,"£70,715",260 mi,342 Wh/mi,"2,585 kg",6.0 sec,275 mi,89.0 kWh,146 kW,"1,800 kg",631 L,£272 /mi
BMW,i5 M60 xDrive Touring,All Wheel Drive,E,5,"£99,995",260 mi,312 Wh/mi,"2,425 kg",3.9 sec,298 mi,81.2 kWh,136 kW,"2,000 kg",570 L,£385 /mi
Lotus,Emeya R,All Wheel Drive,F,5,"£131,255",290 mi,341 Wh/mi,"2,650 kg",2.8 sec,364 mi,98.9 kWh,240 kW,"1,225 kg",543 L,£453 /mi
Abarth,600e Turismo,Front Wheel Drive,B,5,"£36,975",170 mi,299 Wh/mi,"1,700 kg",6.2 sec,182 mi,50.8 kWh,79 kW,0 kg,360 L,£218 /mi
Ford,e-Tourneo Custom L2 160 kW,Rear Wheel Drive,N,8,"£61,727",145 mi,441 Wh/mi,"2,602 kg",9.0 sec,145 mi,64.0 kWh,70 kW,"2,000 kg",672 L,£426 /mi
Volkswagen,e-Transporter Shuttle SWB 210 kW 64 kWh,Rear Wheel Drive,N,9,"£66,335",150 mi,425 Wh/mi,"2,523 kg",7.4 sec,153 mi,63.8 kWh,75 kW,"2,000 kg",800 L,£442 /mi
Smart,ForFour Electric Drive,Rear Wheel Drive,A,4,"£16,915",55 mi,304 Wh/mi,"1,200 kg",12.7 sec,41 mi,16.7 kWh,0 kW,0 kg,185 L,£308 /mi
Škoda,Enyaq iV 80x(MY21-23),All Wheel Drive,C,5,"£50,805",265 mi,291 Wh/mi,"2,193 kg",6.9 sec,290 mi,77.0 kWh,115 kW,"1,200 kg",585 L,£192 /mi
Volkswagen,ID.4 Pure Performance,Rear Wheel Drive,C,5,"£40,275",175 mi,297 Wh/mi,"1,965 kg",9.0 sec,187 mi,52.0 kWh,70 kW,"1,000 kg",543 L,£230 /mi
Mercedes-Benz,EQE SUV 500 4MATIC(MY23-24),All Wheel Drive,E,5,"£90,505",285 mi,337 Wh/mi,"2,610 kg",4.9 sec,300 mi,96.0 kWh,141 kW,"1,800 kg",520 L,£318 /mi
Mini,Aceman JCW,Front Wheel Drive,B,5,"£40,800",170 mi,289 Wh/mi,"1,825 kg",6.4 sec,183 mi,49.2 kWh,75 kW,750 kg,300 L,£240 /mi
Genesis,GV70 Electrified(MY25),All Wheel Drive,D,5,"£65,915",235 mi,340 Wh/mi,"2,335 kg",4.4 sec,296 mi,80.0 kWh,205 kW,"1,800 kg",528 L,£280 /mi
Smart,ForTwo Electric Drive,Rear Wheel Drive,A,2,"£16,420",60 mi,278 Wh/mi,"1,085 kg",11.5 sec,44 mi,16.7 kWh,0 kW,0 kg,260 L,£274 /mi
Mercedes-Benz,EQE 300(MY22-23),Rear Wheel Drive,E,5,"£74,345",320 mi,278 Wh/mi,"2,385 kg",7.3 sec,345 mi,89.0 kWh,120 kW,750 kg,430 L,£232 /mi
Ford,Focus Electric,Front Wheel Drive,C,5,"£28,500",65 mi,301 Wh/mi,"1,700 kg",11.4 sec,47 mi,19.6 kWh,0 kW,unknown,237 L,£438 /mi
Volkswagen,e-Golf,Front Wheel Drive,C,5,"£26,345",75 mi,273 Wh/mi,"1,585 kg",10.4 sec,83 mi,20.5 kWh,41 kW,unknown,380 L,£351 /mi
Audi,e-tron 55 quattro,All Wheel Drive,E,5,"£68,060",225 mi,384 Wh/mi,"2,565 kg",5.7 sec,239 mi,86.5 kWh,146 kW,"1,800 kg",660 L,£302 /mi
Tesla,Model X Ludicrous Performance,All Wheel Drive,F,7,"£101,350",260 mi,365 Wh/mi,"2,572 kg",3.0 sec,257 mi,95.0 kWh,100 kW,"2,250 kg",unknown,£390 /mi
Porsche,Taycan Turbo,All Wheel Drive,F,5,"£119,900",255 mi,328 Wh/mi,"2,380 kg",3.2 sec,328 mi,83.7 kWh,216 kW,0 kg,450 L,£470 /mi
Peugeot,e-Traveller Standard 50 kWh,Front Wheel Drive,N,9,"£42,785",115 mi,403 Wh/mi,"1,969 kg",13.1 sec,123 mi,46.3 kWh,78 kW,"1,000 kg",603 L,£372 /mi
Porsche,Taycan GTS,All Wheel Drive,F,5,"£110,200",280 mi,299 Wh/mi,"2,370 kg",3.7 sec,359 mi,83.7 kWh,216 kW,0 kg,491 L,£394 /mi
Genesis,GV60 Sport Plus(MY22-24),All Wheel Drive,C,5,"£67,505",225 mi,329 Wh/mi,"2,220 kg",4.0 sec,283 mi,74.0 kWh,200 kW,"1,600 kg",432 L,£300 /mi
Ford,Mustang Mach-E ER AWD(MY22),All Wheel Drive,D,5,"£65,080",275 mi,331 Wh/mi,"2,257 kg",5.8 sec,255 mi,91.0 kWh,86 kW,"1,000 kg",619 L,£237 /mi
Volkswagen,ID.4 GTX,All Wheel Drive,C,5,"£52,865",245 mi,314 Wh/mi,"2,239 kg",6.3 sec,270 mi,77.0 kWh,115 kW,"1,200 kg",543 L,£216 /mi
Citroën,ë-SpaceTourer M 50 kWh,Front Wheel Drive,N,9,"£36,635",110 mi,421 Wh/mi,"2,027 kg",13.3 sec,119 mi,46.3 kWh,78 kW,"1,000 kg",603 L,£333 /mi
Lexus,RZ 550e F SPORT(MY26),All Wheel Drive,D,5,"£67,795",245 mi,294 Wh/mi,"2,135 kg",4.4 sec,264 mi,72.0 kWh,110 kW,unknown,522 L,£277 /mi
Škoda,Enyaq iV vRS(MY23),All Wheel Drive,C,5,"£52,670",260 mi,296 Wh/mi,"2,258 kg",6.2 sec,283 mi,77.0 kWh,115 kW,"1,200 kg",585 L,£203 /mi
Vauxhall,Vivaro-e Life Combi L 50 kWh,Front Wheel Drive,N,9,"£37,835",110 mi,421 Wh/mi,"1,989 kg",12.1 sec,119 mi,46.3 kWh,78 kW,"1,000 kg",912 L,£344 /mi
Mercedes-Benz,eVito Tourer L3 90 kWh,Front Wheel Drive,N,9,"£83,850",190 mi,474 Wh/mi,"2,555 kg",12.0 sec,173 mi,90.0 kWh,96 kW,0 kg,"1,390 L",£441 /mi
Mercedes-Benz,EQE 350(MY22-23),Rear Wheel Drive,E,5,"£77,345",315 mi,283 Wh/mi,"2,385 kg",6.4 sec,344 mi,89.0 kWh,120 kW,750 kg,430 L,£246 /mi
Mercedes-Benz,EQE AMG 53 4MATIC+(MY23),All Wheel Drive,E,5,"£114,750",280 mi,324 Wh/mi,"2,540 kg",3.5 sec,305 mi,90.6 kWh,141 kW,750 kg,430 L,£410 /mi
Porsche,Taycan 4S Sport Turismo,All Wheel Drive,F,5,"£96,700",270 mi,305 Wh/mi,"2,270 kg",3.7 sec,339 mi,82.3 kWh,195 kW,0 kg,530 L,£358 /mi
Mercedes-Benz,EQE SUV AMG 53 4MATIC+(MY25),All Wheel Drive,E,5,"£115,130",260 mi,348 Wh/mi,"2,690 kg",3.7 sec,281 mi,90.6 kWh,141 kW,"1,800 kg",520 L,£443 /mi
Renault,Zoe Q90 ZE40,Front Wheel Drive,B,5,"£24,520",150 mi,273 Wh/mi,"1,555 kg",13.5 sec,139 mi,41.0 kWh,33 kW,0 kg,338 L,£163 /mi
Mercedes-Benz,EQE 350+(MY22-23),Rear Wheel Drive,E,5,"£76,450",325 mi,279 Wh/mi,"2,355 kg",6.4 sec,355 mi,90.6 kWh,141 kW,750 kg,430 L,£235 /mi
Abarth,500e Convertible,Front Wheel Drive,B,4,"£37,195",140 mi,270 Wh/mi,"1,435 kg",7.0 sec,156 mi,37.8 kWh,67 kW,0 kg,185 L,£266 /mi
Volkswagen,ID.5 Pro Performance,Rear Wheel Drive,C,5,"£52,185",265 mi,291 Wh/mi,"2,118 kg",8.4 sec,282 mi,77.0 kWh,125 kW,"1,000 kg",549 L,£197 /mi
Audi,Q4 Sportback e-tron 55 quattro,All Wheel Drive,C,5,"£59,190",255 mi,302 Wh/mi,"2,235 kg",5.4 sec,284 mi,77.0 kWh,120 kW,"1,200 kg",535 L,£232 /mi
Volvo,EX40 Twin Motor Performance(MY25),All Wheel Drive,C,5,"£59,555",235 mi,336 Wh/mi,"2,170 kg",4.6 sec,260 mi,79.0 kWh,125 kW,"1,800 kg",441 L,£253 /mi
Vauxhall,Vivaro Life Electric 75 kWh,Front Wheel Drive,N,9,"£48,695",165 mi,418 Wh/mi,"2,211 kg",14.2 sec,157 mi,69.0 kWh,79 kW,"1,000 kg",603 L,£295 /mi
Mercedes-Benz,EQE 500 4MATIC(MY25),All Wheel Drive,E,5,"£82,615",315 mi,288 Wh/mi,"2,490 kg",4.4 sec,344 mi,90.6 kWh,141 kW,"1,700 kg",430 L,£262 /mi
Tesla,Model S P85D,All Wheel Drive,F,5,£0,240 mi,336 Wh/mi,"2,262 kg",3.3 sec,244 mi,80.8 kWh,95 kW,unknown,895 L,- /mi
Tesla,Model X Standard Range,All Wheel Drive,F,7,"£76,550",220 mi,330 Wh/mi,"2,427 kg",4.8 sec,215 mi,72.5 kWh,80 kW,"2,250 kg",unknown,£348 /mi
Audi,e-tron Sportback 50 quattro,All Wheel Drive,E,5,"£69,100",180 mi,359 Wh/mi,"2,445 kg",6.8 sec,196 mi,64.7 kWh,114 kW,"1,800 kg",615 L,£384 /mi
Citroën,ë-C4,Front Wheel Drive,C,5,"£30,895",175 mi,265 Wh/mi,"1,616 kg",9.7 sec,193 mi,46.3 kWh,78 kW,0 kg,380 L,£177 /mi
DS Automobiles,DS 3 Crossback E-Tense,Front Wheel Drive,B,5,"£34,770",165 mi,281 Wh/mi,"1,598 kg",8.7 sec,179 mi,46.3 kWh,78 kW,0 kg,350 L,£211 /mi
Ford,Mustang Mach-E GT(MY22),All Wheel Drive,D,5,"£72,830",265 mi,343 Wh/mi,"2,348 kg",4.4 sec,247 mi,91.0 kWh,86 kW,750 kg,619 L,£275 /mi
